origin,destination,distance
AG,HU,7976.258
AG,ID,18146.054
AG,IE,6111.697
AG,IL,9647.48
AG,IM,6370.761
AG,IN,14027.261
AG,IO,14846.027
AG,IQ,10343.098
AG,IR,11224.573
AG,IS,6199.252
AG,IT,7471.058
AG,JE,6391.575
AG,JM,1646.738
AG,JO,9789.314
AG,JP,13728.144
AG,KE,11039.298
AG,KG,12143.401
AG,KH,16415.204
AG,KI,11917.219
AG,KM,12035.99
AG,KN,109.871
AG,KP,13560.151
AG,KR,14039.799
AG,KW,10848.318
AG,KY,1999.381
AG,KZ,11172.824
AG,LA,15566.109
AG,LB,9640.136
AG,LC,361.198
AG,LI,7222.473
AG,LK,15053.652
AG,LR,5804.363
AG,LS,10937.157
AG,LT,8186.371
AG,LU,6991.22
AG,LV,8209.305
AG,LY,8111.249
AG,MA,5713.879
AG,MC,7048.923
AG,MD,8632.718
AG,ME,8020.76
AG,MF,175.012
AG,MG,12519.071
AG,MH,13601.837
AG,MK,8231.189
AG,ML,6110.683
AG,MM,15050.105
AG,MN,12763.126
AG,MO,15620.253
AG,MP,15169.239
AG,MQ,281.407
AG,MR,5342.235
AG,MS,54.615
AG,MT,7680.485
AG,MU,13651.887
AG,MV,14589.235
AG,MW,11070.787
AG,MX,4297.071
AG,MY,17053.506
AG,MZ,11351.502
AG,NA,9790.375
AG,NC,15028.514
AG,NE,7370.323
AG,NF,14792.752
AG,NG,7648.557
AG,NI,2555.959
AG,NL,6961.717
AG,NO,7285.503
AG,NP,13771.574
AG,NR,14376.492
AG,NU,12463.923
AG,NZ,14020.098
AG,OM,11989.608
AG,PA,2263.895
AG,PE,3260.708
AG,PF,10333.395
AG,PG,16972.204
AG,PH,16662.832
AG,PK,12589.587
AG,PL,7906.955
AG,PM,3361.207
AG,PN,8492.442
AG,PR,524.068
AG,PS,9650.624
AG,PT,5707.194
AG,PW,16742.516
AG,PY,4518.468
AG,QA,11366.221
AG,RE,13455.575
AG,RO,8408.392
AG,RS,8133.006
AG,RU,11202.343
AG,RW,10248.317
AG,SA,10869.966
AG,SB,15411.297
AG,SC,13058.367
AG,SD,9800.081
AG,SE,7841.408
AG,SG,17430.696
AG,SH,7246.854
AG,SI,7641.47
