subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-NY,2019-03,8.73061e-8,0.0000544603,0.0116829,4.47441e-10,8.23657e-10,0.00500707,0.000366788,0.0000013497,0.00221701
US-OH,2019-03,2.38265e-8,0.0000154827,0.00173223,1.39858e-10,1.65757e-10,0.000798218,0.0000494078,4.91674e-7,0.000647471
US-OK,2019-03,2.69379e-7,0.0000337697,0.0298637,2.54619e-9,1.2785e-9,0.00556626,0.000445218,4.12762e-7,0.0033614
US-OR,2019-03,1.33404e-7,0.000067391,0.0196873,5.83306e-10,1.25652e-9,0.00808431,0.000639491,0.00000132462,0.00279062
US-PA,2019-03,2.16188e-8,0.000023883,0.00183776,1.30228e-10,2.19654e-10,0.0011376,0.0000593135,7.83037e-7,0.000906962
US-RI,2019-03,9.4057e-8,0.0000840528,0.0039053,3.06029e-10,7.14973e-10,0.00348639,0.000204492,0.00000280451,0.00314303
US-SC,2019-03,6.5743e-8,0.00005924,0.00180766,5.60643e-11,4.92675e-10,0.00253998,0.000168097,0.00000194572,0.00210605
US-SD,2019-03,1.47207e-7,0.0000334518,0.0276264,1.29621e-9,1.26825e-9,0.00799048,0.000637337,5.64145e-10,0.00218024
US-TN,2019-03,3.4619e-8,0.0000294202,0.00365805,6.37636e-11,3.53584e-10,0.00219033,0.000159522,8.11345e-7,0.00105803
US-TX,2019-03,1.75088e-7,0.000021621,0.0148483,1.2681e-9,7.10226e-10,0.00296582,0.000278514,3.21979e-7,0.00192787
US-UT,2019-03,3.16215e-7,0.0000229071,0.00618356,3.03943e-10,6.90317e-10,0.00256854,0.000522961,1.65717e-7,0.00167537
US-VA,2019-03,8.96212e-8,0.000102157,0.00154616,6.97209e-11,7.63475e-10,0.00384432,0.000218968,0.00000347124,0.0035661
US-VT,2019-03,5.58045e-7,0.000404072,0.0359508,1.668e-9,4.22412e-9,0.0227158,0.00158871,0.0000123728,0.0153899
