subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-AB,2021-03,4.2063106274342966e-7,0.0009574154930897652,0.19521770587180376,0.00000464364277661721,0.0000023918802643559536,0.50255806060155,0.007414043807701585,0.000018693741966264238,0.06267458899407281
CA-BC,2021-03,1.0592690147309869e-7,0.00012676244618774362,0.04341231898932678,4.180282510372969e-7,2.163854780016818e-7,0.05496527911180574,0.0014349816423854455,0.0000016817432983162894,0.0072710636288165235
CA-YT,2021-03,7.983703854813332e-8,0.00010693953476451216,0.0384085333848619,3.183213733486027e-7,1.6510076542953296e-7,0.04437165765658919,0.0012881314737270015,0.0000012810848997339346,0.005789278588976299
CA-NT,2021-03,2.766604094941474e-7,0.0006694565881325862,0.1401951269186373,0.0000031813596741542457,0.0000016391249132048718,0.3475998556738649,0.00533108376490287,0.000012808015574841521,0.043188111030031374
CA-NU,2021-03,3.885742743312464e-7,0.0011090381331815594,0.21669054297097323,0.000005421412874217418,0.000002792511895276039,0.5847715993170176,0.008480240182128628,0.000021828398292544113,0.07206050085372795
CA-NL,2021-04,7.635612843752449e-8,0.00008522067768095599,0.034769849137559726,2.0640913680802536e-7,1.0747568043201286e-7,0.032578759104555814,0.0011318901397793404,8.376731296821672e-7,0.0043728751002478205
CA-PE,2021-04,6.768998275877353e-7,0.0000625798145139381,0.0760775896692807,5.52736801184109e-8,2.8084960859746085e-8,0.017582847167665505,0.0011043239748890488,1.9882578718429976e-7,0.008117565393859091
CA-NS,2021-04,3.793573175034749e-7,0.0007447462601974581,0.15935054704709772,0.000003540946443178429,0.0000018241074163956282,0.3867185285597547,0.005869648142610255,0.00001437848303484674,0.048726637650984575
CA-NB,2021-04,2.5241782207465803e-7,0.00033918414485704197,0.08257963693996151,0.0000014925522028975368,7.704966014846916e-7,0.1679431611419491,0.005994067822231528,0.000006060640479468093,0.050627707322245134
CA-QC,2021-04,9.368880662684363e-8,0.00005627043366795785,0.0316023449905664,5.8235782682268445e-8,3.111517316908936e-8,0.01689456519098182,0.0009305062533665836,2.3470665988371518e-7,0.0026915944106718037
CA-ON,2021-04,4.225857784468148e-7,0.00009011824419517171,0.0396898050748157,2.0236506969161112e-7,1.077931428773497e-7,0.029634201542784993,0.009235050063743299,8.191638772858275e-7,0.08129213546849653
CA-MB,2021-04,8.445167986611605e-8,0.000049282926620157795,0.029795060426942927,2.3179888551085853e-8,1.3085944814512258e-8,0.013162473018377365,0.0008794435826132161,9.26201418445078e-8,0.0021659310641542998
CA-SK,2021-04,3.531635112950083e-7,0.0009300776610965057,0.18598297086712695,0.000004484495743021984,0.000002310142616965533,0.486737027392571,0.007177218138956057,0.00001821463942675441,0.06022358595455388
CA-AB,2021-04,4.220970830693645e-7,0.0009678341839236723,0.19611880137051446,0.000004670299950702335,0.000002405706895447477,0.5065901073063789,0.0074702813876094945,0.000018967471986625412,0.06312264799525794
CA-BC,2021-04,1.1206315223206662e-7,0.0001614686805738606,0.049185877567146714,5.917875705999271e-7,3.0587012790558993e-7,0.07350985818839108,0.0016802341133965617,0.000002402600497646069,0.009502721467870807
CA-YT,2021-04,8.169122804149925e-8,0.00011315421320985832,0.039482275623874574,3.480792004768094e-7,1.8042764443685e-7,0.04761184316104564,0.0013309519998496522,0.00000141327427895632,0.006186325558723244
CA-NT,2021-04,2.8763204030732455e-7,0.0006976171452251247,0.14487918279953568,0.0000033060645309518976,0.000001703389567065566,0.36166465583321483,0.0055198020878675464,0.000013427740358197807,0.044918821793033956
CA-NU,2021-04,3.8866723452583765e-7,0.0011123940942646224,0.21679135945485523,0.000005409107092561046,0.000002786262685973879,0.5848517887563884,0.0084765996592845,0.000021971278949460536,0.07206553094832484
CA-NL,2021-05,7.230674277825692e-8,0.00007232890054869395,0.03254565445095657,6.998259363709761e-8,3.769799429805084e-8,0.02576179295501638,0.0010414884519000705,5.112162506279197e-7,0.003538637943008317
